===== 2026-06-17T14:31:29.0151909+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          15.65%    87.28MiB / 2.711GiB   3.14%     353MB / 8.81MB    22.8MB / 4.28MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            40.28%    310.2MiB / 2.711GiB   11.18%    589MB / 1.42GB    14.9MB / 12.2MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.07%     193MiB / 2.711GiB     6.95%     35kB / 24.4kB     18.4MB / 1.75MB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.02%     83.62MiB / 2.711GiB   3.01%     323kB / 170kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.09%     190.4MiB / 2.711GiB   6.86%     34.9kB / 24.4kB   10.1MB / 2.13MB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.25MiB / 2.711GiB   2.89%     1.92kB / 126B     7.58MB / 41kB     1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.06%     169.3MiB / 2.711GiB   6.10%     484kB / 432kB     7.14MB / 60.4MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           1.92%     10.61MiB / 2.711GiB   0.38%     366MB / 373MB     10.9MB / 934kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              17.99%    275MiB / 2.711GiB     9.91%     1.06GB / 572MB    141MB / 1.82GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.57%     16.88MiB / 2.711GiB   0.61%     713kB / 894kB     78MB / 344kB      6
===== 2026-06-17T14:41:06.6698250+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          3.06%     87.41MiB / 2.711GiB   3.15%     357MB / 8.89MB    22.8MB / 4.3MB    2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            29.12%    311.7MiB / 2.711GiB   11.23%    595MB / 1.43GB    14.9MB / 12.2MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.09%     193MiB / 2.711GiB     6.95%     35kB / 24.4kB     18.4MB / 1.75MB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.08%     83.36MiB / 2.711GiB   3.00%     328kB / 172kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.09%     190.2MiB / 2.711GiB   6.85%     34.9kB / 24.4kB   10.1MB / 2.4MB    5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.25MiB / 2.711GiB   2.89%     1.92kB / 126B     7.58MB / 41kB     1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.19%     169.6MiB / 2.711GiB   6.11%     490kB / 438kB     7.14MB / 60.6MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           1.02%     11.08MiB / 2.711GiB   0.40%     370MB / 377MB     10.9MB / 934kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              10.23%    276.8MiB / 2.711GiB   9.97%     1.07GB / 577MB    143MB / 1.84GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.62%     17.14MiB / 2.711GiB   0.62%     720kB / 905kB     78MB / 344kB      6
===== 2026-06-17T14:41:13.9308695+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          16.24%    87.75MiB / 2.711GiB   3.16%     360MB / 8.95MB    22.8MB / 4.3MB    2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            266.96%   311.4MiB / 2.711GiB   11.22%    600MB / 1.44GB    14.9MB / 12.2MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.07%     192.8MiB / 2.711GiB   6.95%     35kB / 24.4kB     18.4MB / 2.08MB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.01%     82.85MiB / 2.711GiB   2.98%     331kB / 174kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.07%     189.8MiB / 2.711GiB   6.84%     34.9kB / 24.4kB   10.1MB / 2.59MB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.24MiB / 2.711GiB   2.89%     1.92kB / 126B     7.58MB / 41kB     1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.06%     169.4MiB / 2.711GiB   6.10%     495kB / 442kB     7.14MB / 61.3MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           4.94%     10.3MiB / 2.711GiB    0.37%     373MB / 380MB     10.9MB / 942kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              95.81%    276.7MiB / 2.711GiB   9.97%     1.08GB / 582MB    143MB / 1.85GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.58%     16.77MiB / 2.711GiB   0.60%     726kB / 912kB     78MB / 344kB      6
===== 2026-06-17T14:41:21.3408791+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          4.76%     87MiB / 2.711GiB      3.13%     362MB / 9.04MB    22.8MB / 4.31MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            11.13%    311.6MiB / 2.711GiB   11.22%    606MB / 1.46GB    14.9MB / 12.2MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.09%     192.8MiB / 2.711GiB   6.95%     35kB / 24.4kB     18.4MB / 2.08MB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.11%     83.35MiB / 2.711GiB   3.00%     335kB / 175kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.08%     189.8MiB / 2.711GiB   6.84%     34.9kB / 24.4kB   10.1MB / 2.59MB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.24MiB / 2.711GiB   2.89%     1.92kB / 126B     7.58MB / 41kB     1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.25%     168.7MiB / 2.711GiB   6.08%     501kB / 447kB     7.14MB / 61.3MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           1.65%     10.96MiB / 2.711GiB   0.40%     375MB / 383MB     10.9MB / 942kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              3.18%     277.6MiB / 2.711GiB   10.00%    1.09GB / 587MB    143MB / 1.86GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.50%     17.18MiB / 2.711GiB   0.62%     732kB / 921kB     78MB / 344kB      6
===== 2026-06-17T14:41:28.1119143+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          15.54%    87.87MiB / 2.711GiB   3.17%     367MB / 9.14MB    22.8MB / 4.31MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            318.93%   311.4MiB / 2.711GiB   11.22%    614MB / 1.47GB    14.9MB / 12.2MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.09%     192.8MiB / 2.711GiB   6.95%     35kB / 24.4kB     18.4MB / 2.08MB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.33%     83.11MiB / 2.711GiB   2.99%     339kB / 177kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.10%     189.8MiB / 2.711GiB   6.84%     34.9kB / 24.4kB   10.1MB / 2.59MB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.24MiB / 2.711GiB   2.89%     1.92kB / 126B     7.58MB / 41kB     1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.24%     168.7MiB / 2.711GiB   6.08%     505kB / 451kB     7.14MB / 61.3MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           4.42%     10.44MiB / 2.711GiB   0.38%     380MB / 387MB     10.9MB / 942kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              111.30%   279.4MiB / 2.711GiB   10.07%    1.11GB / 595MB    144MB / 1.87GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           4.41%     16.5MiB / 2.711GiB    0.59%     738kB / 931kB     78MB / 344kB      6
